w_cost,w_gwp,w_profit,run_success,run_error,elapsed_s,Utility,Utility_Norm,Cost_Utility,GWP_Utility,Profit_Utility_Value,Cost_Utility_Norm,GWP_Utility_Norm,Profit_Utility_Norm,Cost_Rating_Norm,GWP_Rating_Norm,Profit_Rating_Norm,Profit_Utility,cons_comp.c1,AR,vertiport_span,MTOM,CL_cruise,CL_climb,gamma_comp.gamma_deg,SPL_hover,b,c,r_cruise,r_hover,V_cruise,V_climb,rho_bat,c_charge,gamma_climb_deg,ROC_target_mps,D_climb_N,D_cruise_N,T_req_total_climb_N,T_req_total_cruise_N,T_req_total_hover_N,T_req_prop_climb_N,T_req_prop_cruise_N,T_req_prop_hover_N,Lift_to_Drag_Cruise,Lift_to_Drag_Climb,Wing_Loading_kg_m2,Wing_Loading_N_m2,Disk_Loading_Hover_kg_m2,Disk_Loading_Hover_N_m2,Disk_Loading_Cruise_kg_m2,Disk_Loading_Cruise_N_m2,Power_to_Weight_Hover_W_kg,Power_to_Weight_Hover_hp_lb,Power_to_Weight_Climb_W_kg,Power_to_Weight_Climb_hp_lb,Power_to_Weight_Cruise_W_kg,Power_to_Weight_Cruise_hp_lb,Empty_Mass_Fraction,Battery_Mass_Fraction,P_req_total_hover,P_req_total_climb,P_req_total_cruise,E_total_req,E_trip,E_hover,E_climb,E_reserve,t_cruise,t_trip,C_rate_hover,C_rate_climb,C_rate_cruise,C_rate_avg,DOD,n_battery_lifecycle,MTOM_est,m_battery,m_empty,RPM_hover,FC_a,FoM,FoM_time_rating,FoM_co2_rating,FoM_energy_rating,FoM_cost_rating,TOC_flight,GWP_flight,GWP_annual_ops,Annual_Profit,pareto_front
0.0,0.0,1.0,True,,5.320378065109253,0.8545715419464461,0.9999999534736658,-0.0,-0.0,0.8545715419464461,0.0,-0.0,0.9999999534736658,0.26098985041567496,-0.00013061228950100954,0.9999999534736658,0.8545715419464461,-3.552713678800501e-15,9.999999999999991,14.828053652066524,2368.6128702664514,0.47330094028176306,1.0389384242357933,5.000000000000003,77.00000232707029,11.49729023904989,1.14972902390499,1.114471261320292,1.6653817065083154,77.86895043312471,52.45781695920256,250.00000000000009,3.999999999999999,5.000000000000003,4.572,1625.2831119405228,1910.3940254711376,3650.441991179825,1910.3940254711376,29045.115321642363,3650.441991179825,1910.3940254711376,3630.6394152052953,12.162984152750084,14.242239854119546,179.18559576510336,1757.8106944556641,33.98025592369318,333.3463106114301,607.0248416014634,5954.913696110356,253.83894943130005,0.34040310796636203,118.73433391741855,0.15922511646993665,84.71976366923957,0.11361089747572366,0.47071446565193353,0.36345007641786775,601246.2025978923,281235.671459312,200668.32259289298,137739.60459242994,70850.16372813228,10020.770043298206,20571.868560449675,66889.44086429766,722.2220656212166,1045.55539895455,2.7936596072078403,1.3067471063718434,0.9323950568862733,1.060687633370075,0.32920164770457555,870.6001453628795,2368.6128702664523,860.8725287026869,1114.9403415637653,832.7836453044105,5580.4100342363945,-0.43999357099117575,1.6190165437394948,-0.50363176135502,0.578998164666186,-0.37635538062733154,124.83316707620564,57.626604076742595,321580.0796288223,1407149.6814692805,True
0.0,0.1,0.9,True,,3.5519332885742188,0.7279810643326207,0.9097771309174923,-0.0,-0.0324750507582404,0.7604561150908611,0.0,0.01810854568863962,0.8916685852288527,0.4848492812271181,0.1810854568863962,0.9907428724765031,0.8449512389898456,1.7763568394002505e-15,10.000000000000009,14.238389798841114,2205.0922854136197,0.5220569199608015,1.0461468753932803,4.999999999999997,77.0000140223756,11.055042349130836,1.1055042349130826,1.1074034448999186,1.5916737248551391,74.40043985752726,52.4578169592026,250.00000000000006,4.0,4.999999999999998,4.572,1514.9724616570625,1692.4189230474067,3400.321594647765,1692.4189230474067,27039.94414988451,3400.321594647765,1692.4189230474067,3379.993018735564,12.781678947997484,14.224442849263877,180.42883654344718,1770.0068864912168,34.63209914096372,339.7408925728541,572.3545726270239,5614.798357471105,256.26208006853483,0.34365257461350657,118.13122315469772,0.15841633287491275,76.98824802062693,0.10324278036062112,0.479741365611877,0.34212550018856536,565081.5358031734,260490.2488448987,169766.19177779483,120706.92817745302,64118.197584854744,9418.025596719557,19054.379313654626,56588.73059259828,755.8916901198623,1079.2250234531957,2.9961178564859243,1.3811449083986862,0.9001170386679064,1.043388106232838,0.3399609871106978,880.6677965590644,2205.092285413626,754.4183011090813,1057.8739843045448,879.6664240345611,5405.756955004155,-0.324750507582404,1.6086421496362704,-0.324750507582404,0.6244898607388739,-0.29957901387927593,118.10440030487528,50.961259593170084,275484.1834815514,1399483.442616252,False
0.0,0.2,0.8,True,,3.537385940551758,0.6183651159253017,0.8373016837520926,-0.0,-0.037125151126546824,0.6554902670518485,0.0,0.0644052219294483,0.7728964618226443,0.6475366102070037,0.32202610964724143,0.9661205772783052,0.8193628338148106,1.7763568394002505e-15,10.000000000000005,13.766449900605439,2077.336888343353,0.578045159653568,1.0518112761014782,5.0000000000000036,77.00001504158439,10.70108742545408,1.0701087425454074,1.106019671478846,1.5326812375756798,70.89671737209983,52.457816959202546,250.00000000000003,4.0,5.000000000000003,4.572,1428.6404703547585,1526.3371808124841,3204.7590152677712,1526.3371808124841,25473.343593310372,3204.7590152677712,1526.3371808124841,3184.1679491637965,13.351358488037702,14.210102741397874,181.40577511061673,1779.5906538351503,35.18547282662984,345.16948842923875,540.544381794587,5302.740385404899,258.30132543586046,0.34638724343599764,117.56259329592838,0.1576537888617059,70.22346965676708,0.09417107727911779,0.48725026489284406,0.3236614836039302,536578.8716358942,244217.111742939,145877.8039454624,107576.63027622107,58950.6956277336,8942.98119393157,17864.029470085352,48625.93464848747,793.2479290176447,1116.581262350978,3.192240516971095,1.4529080443787572,0.8678631621512389,1.0242022841738427,0.3507122792829203,892.8922166496236,2077.336888343357,672.3539392263816,1012.1829491169752,920.794061037252,5228.238610964107,-0.18562575563273412,1.597131823925469,-0.18562575563273412,0.659409589015155,-0.24378265100215368,113.21434457039788,45.777293255842885,239334.61210562458,1379092.5228266318,False
0.0,0.30000000000000004,0.7,True,,3.466125726699829,0.5253201234530417,0.7822980307154014,-0.0,-0.011731072128203249,0.5370511955812449,0.0,0.1411382237863589,0.6411598069290425,0.8004363218940728,0.47046074595452964,0.9159425813272036,0.7672159936874928,0.0,10.000000000000007,13.456025388801047,1994.8397708073678,0.6298389739167004,1.055467779693507,5.000000000000004,77.00001449921687,10.468269041600786,1.046826904160078,1.1151002192598756,1.4938781736001308,68.03710484622253,52.45781695920253,250.00000000000006,3.6691546846833445,5.000000000000004,4.572,1372.814943926933,1422.5317283494237,3078.398631841194,1422.5317283494237,24461.722689525348,3078.398631841194,1422.5317283494237,3057.7153361906685,13.756725253732515,14.20068367250682,182.0364118829902,1785.777200572134,35.56622686348894,348.90468553082655,510.65823869232173,5009.557321571677,259.6951483216795,0.34825638780233864,117.00573474104615,0.15690703040243772,65.396677402553,0.08769825233037162,0.49245764955340937,0.31063430512472473,518050.21015780454,233407.69307397617,130455.89296127218,99146.50656638591,55661.208912628514,8634.170169296744,17073.3405118927,43485.29765375739,826.5882911490446,1149.9216244823779,3.3440627005752974,1.5066685528382504,0.8421050260536441,1.0073260881098496,0.3592983246487853,1003.2654669891688,1994.83977080737,619.6656660399118,982.3741047674582,949.809195599675,4983.8661795941825,-0.03910357376067749,1.5868588832127128,-0.03910357376067749,0.6816385079808478,-0.1913431165246171,108.61848503650796,40.31768921089726,200937.9676975801,1337537.6847253614,False
0.0,0.4,0.6,True,,3.583549976348877,0.4525205263834257,0.7479389325985898,-0.0,0.03656369062147998,0.41595683576194575,0.0,0.2410708164518922,0.5068681161466976,0.91366232973035,0.6026770411297305,0.8447801935778293,0.6932613929365763,0.0,10.0,13.220020084310203,1932.9495273056461,0.6833128428370925,1.0582047323186472,5.0,77.00006135083063,10.291265063232652,1.0291265063232653,1.1292792342034783,1.4643775105387753,65.40533258748971,52.457816959202574,250.00000000000009,3.234674464920538,5.000000000000001,4.572,1330.8915565394514,1348.0614882090008,2983.559220168284,1348.0614882090008,23702.793578585486,2983.559220168284,1348.0614882090008,2962.8491973231858,14.066298183520635,14.193551489256889,182.50845380123727,1790.4079317901376,35.865307052892646,351.8386621888769,482.46738140939203,4733.005011626136,260.78476452204205,0.34971758491934885,116.46785919541855,0.1561857285382402,61.483198105504115,0.08245019832344314,0.4965042128486713,0.3002830314889911,504083.7873113954,225126.49337808485,118843.91871527358,92869.11100392832,53254.47143217045,8401.396455189923,16467.586089693243,39614.63957175786,859.8484558478403,1183.1817891811736,3.473852827832568,1.5514411003232254,0.8190032956658516,0.9907750741599213,0.36699890144471614,1182.8447943347478,1932.949527305653,580.4319437745518,959.7175835311011,973.0090527241011,4704.611866739164,0.09140922655369996,1.5766106531934763,0.09140922655369996,0.6979021919711598,-0.1525103478020948,105.21513769296514,35.454615214799155,166800.203470215,1278604.6515148121,False
0.0,0.5,0.5,True,,3.4797170162200928,0.3988914638758008,0.7324323907712931,-0.0,0.0928457647514933,0.3060456991243075,0.0,0.34909497344348533,0.38333741732780774,0.9668084840411949,0.6981899468869707,0.7666748346556155,0.612091398248615,1.7763568394002505e-15,10.000000000000004,13.26210313570896,1910.4282321594628,0.7000001921446943,1.039489515478195,4.999999999999998,76.64027372956939,10.322827351781722,1.0322827351781718,1.1530145538957084,1.46963789196362,64.0470421006709,52.45781695920259,250.0000000000001,2.748489985325681,4.999999999999999,4.572,1311.0118039248068,1325.1834055600216,2944.4238089317505,1325.1834055600216,23426.626196855414,2944.4238089317505,1325.1834055600216,2928.3282746069267,14.142420497307896,14.240897445236474,179.28064241107128,1758.7431020526094,35.19412610996788,345.25437713878495,457.4159205923091,4487.250181010552,258.33308594620945,0.3464298349155858,115.77452410890295,0.15525595232052106,59.85313610107092,0.08026425257425814,0.49861541060394315,0.29577623762039434,493526.82069251547,221178.91942247457,114345.12099076864,90409.4839603052,52294.44363004897,8225.447011541924,16178.828365162492,38115.04033025622,878.083864375344,1201.4171977086773,3.493628670437814,1.5657041963930913,0.8094380614562784,0.9812579796568799,0.3701873128479071,1450.6286071141387,1910.428232159463,565.0592747519072,952.5689574075558,960.4116217943335,4440.511327138794,0.1856915295029866,1.5709918998656738,0.1856915295029866,0.704389641858152,-0.13428297797529015,103.61767058668977,31.941535925560956,141836.75208366415,1213921.8063087761,False
0.0,0.6000000000000001,0.3999999999999999,True,,4.048134088516235,0.3655677705664099,0.7378816100834565,-0.0,0.1770178220294872,0.18854994853692264,0.0,0.485373142573676,0.25250846750978057,0.9624723702929614,0.8089552376227932,0.6312711687744516,0.4713748713423067,0.0,10.0,14.08832171743439,1859.3853795230004,0.7000006711114635,0.9003755773829641,5.0,73.85925063531388,10.942491288075793,1.0942491288075793,1.1870648750110178,1.5729152146792986,59.607475003886236,52.45781695920257,250.00000000000006,2.309424494760831,5.000000000000002,4.572,1256.4309326791538,1289.776946461431,2846.20140912056,1289.776946461431,22800.713216400793,2846.20140912056,1289.776946461431,2850.089152050099,14.142422550786454,14.462521753077006,155.2876768075906,1523.3721094824639,29.90328674675239,293.35124298564097,420.02063778942085,4120.402456714219,238.12467573884953,0.319329952659312,114.16804025503033,0.15310162534280078,55.80077803651919,0.07482995936253296,0.5040949968609354,0.2846524008943556,442765.54057247215,212282.38485899678,103755.15084711195,84684.56199505356,50099.511712682914,7379.425676207869,15528.063336908097,34585.05028237065,943.483585337256,1266.8169186705893,3.3461818694053567,1.604315156258275,0.7841251696623319,0.9443178527481404,0.3786249434458893,1854.792536818872,1859.385379523001,529.2785124690847,937.3068670539161,827.154818601417,4032.247622705149,0.29502970338247864,1.5508407253395944,0.29502970338247864,0.7192220360740333,-0.1357701213053208,103.74800549373417,27.867455613948522,112368.48165018517,1101787.447266349,False
0.0,0.7000000000000001,0.29999999999999993,True,,3.5228049755096436,0.3577953592961794,0.7682469764203369,-0.0,0.26767651045608376,0.09011884884009565,0.0,0.628222608439286,0.1400243679810509,0.864603167369328,0.8974608691989799,0.46674789327016974,0.3003961628003189,0.0,9.999999999999998,14.999999999999998,1825.4301569528247,0.7000000007363838,0.7830195759451491,5.0,71.19242880735845,11.626249999999999,1.162625,1.2,1.6868749999999997,55.58727570160089,52.45781695920257,250.00000000000006,1.832008054324822,5.000000000000002,4.572,1239.272634120711,1266.2239029178666,2800.011468731681,1266.2239029178666,22384.337299634015,2800.011468731681,1266.2239029178666,2798.042162454252,14.142419676679234,14.394997532735424,135.04730014646844,1324.8140144368556,25.524636003915134,250.3966791984075,403.5086565945228,3958.419921192269,220.00103182219144,0.2950257836941952,114.08510845774757,0.15299041214400866,52.20264650310717,0.07000479301359677,0.5092969534984225,0.2755208887488549,401596.5180489663,208254.39743800618,95292.28519951974,80471.06227081665,48706.967204310065,6693.275300816105,15233.423516298599,31764.095066506583,1011.7184826877171,1335.0518160210504,3.1939651882108806,1.6562825269010997,0.7578756985019941,0.9077348850036548,0.3873747671660019,2543.683965830263,1825.430156952825,502.944139192604,929.6860177602209,712.573277387605,3572.0670185284584,0.38239501493726247,1.5298159670523375,0.38239501493726247,0.7286322455424585,-0.1693360148205858,106.68975799521274,24.612112277818483,87916.11452391473,965537.7236995983,False
0.0,0.8,0.19999999999999996,True,,3.618349075317383,0.37493138605227716,0.8222355703421771,-0.0,0.3515494067436893,0.023381979308587878,0.0,0.7641977118340484,0.058037858508128724,0.6761151440205978,0.9552471397925604,0.2901892925406437,0.11690989654293941,1.7763568394002505e-15,10.000000000000002,14.999999999999998,1825.4301537572242,0.7000000044100373,0.7830195745743939,5.0,71.19242877116767,11.62625,1.1626249999999998,1.2,1.6868749999999997,55.587275507082175,52.457816959202574,250.00000000000003,1.2870358433683067,5.000000000000001,4.572,1239.272632174775,1266.223899291044,2800.011464053513,1266.223899291044,22384.337260447963,2800.011464053513,1266.223899291044,2798.0421575559953,14.142419692429375,14.394997530138896,135.04729991005445,1324.8140121176343,25.52463595923167,250.39667876006274,403.50865588813997,3958.4199142626535,220.00103162962438,0.2950257834359589,114.08510845305788,0.1529904121377197,52.20264626948654,0.07000479270030685,0.5092969537201212,0.275520888150458,401596.51699441316,208254.39706487505,95292.2846062428,80471.06195517082,48706.96708642322,6693.275283240219,15233.423489004748,31764.0948687476,1011.7184862280629,1335.0518195613963,3.1939651923520938,1.6562825304302535,0.7578756967563115,0.907734883362201,0.3873747677478962,3885.6818356866515,1825.4301537572242,502.94413721981755,929.6860165374067,712.573276763889,3096.0220488548234,0.4394367584296116,1.5298159659614745,0.4394367584296116,0.7286322463390866,-0.2339811609097289,112.35533100102887,22.48666390186188,69619.20724535223,819320.9621563103,False
0.0,0.9,0.09999999999999998,True,,3.5258631706237793,0.4211308391228594,0.9039687642718608,-0.0,0.43106248122190777,-0.009931642099048356,0.0,0.8957560876291217,0.00821267664273904,0.26731359501815155,0.9952845418101353,0.08212676642739042,-0.09931642099048357,1.190599384448003,10.0,14.999999999999998,1798.3488713093254,0.7000008686561258,0.7442439287253433,5.41712146900428,70.88344378927057,12.816849384448002,1.2816849384448001,1.2,1.6868749999999997,50.048130590302755,48.42922328998306,250.00000000000006,1.0,5.417121469004281,4.572,1228.0388900964922,1247.438429144294,2893.5275190544644,1247.438429144294,22052.253034430603,2893.5275190544644,1247.438429144294,2756.5316293038254,14.142423397719307,14.301672950584132,109.47410040503175,1073.9409249733615,25.145963636782636,246.6819032768377,397.5223781564026,3899.69452971431,218.3630142153171,0.29282916932302455,112.1560800814932,0.15040354651088403,47.33562228095946,0.06347801619121227,0.5148462868819034,0.2667311333185247,392692.8801498177,201695.7600250316,85125.962901688,76748.10120742819,48372.78024019885,6544.881335830294,14753.671335164348,28375.320967229334,1144.9764082163754,1468.3097415497086,3.2746535659120455,1.6819345936277896,0.7098627249400578,0.854390651558325,0.40337909168664726,5565.270758510194,1798.348871458294,479.67563254642613,925.873238911868,707.2678132955436,2563.966941857742,0.4789583124687864,1.4887561020435074,0.4789583124687864,0.7308905355396511,-0.3741865457783331,124.6430879609444,21.014040210773057,53879.304415291415,647014.2682819057,False
